# key	source_text	translation
# 只写确认来自 DBOZero\pack\lang0.pak 的明面文本。
# translation 会按 GBK/CP936 写入 lang0.pak 的 value bytes。
DST_ITEM_GRADE_MYTHIC	Hakai	破坏
DST_LOBBY_SERVER_NOT_BUSY	Not Busy	空闲
DST_LOBBY_SERVER_OPEN	Open	开放
DST_LOBBY_SERVER_STATE	State	状态
DST_LOBBY_CARACTER_INFO	Character Info	角色信息
DST_DELETE	Delete	删除
DST_LOBBY_DEL_CHAR	Delete	删除
DST_LOBBY_DEL_DAT	Delete	删除
DST_HUMAN	Human	人类
DST_MAJIN	Majin	魔人
DST_NAMEK	Namek	那美
DST_ITEM_ALREADY_EQUIPPED	Already Equipped	已装备
DST_ITEM_ALL_RACE_ENABLE_EQUIP_BUT_NMY	All Classes (Except Dragon Clan)	所有职业（除龙族外）
DST_ITEM_ADDITIONAL_EFFECT	Effect	效果
DST_ITEM_AIR_TEXT	Dogi effect: %s	时装效果: %s
DST_ITEM_EQUIP_CLASS_TEXT	Req %s	需要 %s
DST_ITEM_EQUIP_LEVEL_TEXT	Lv.%d	Lv.%d
DST_ITEM_EQUIP_MIN_MAX_LEVEL_TEXT	Lv.%d - %d	Lv.%d-%d
DST_ITEM_GRADE_SUPERIOR	Superior	优质
DST_ITEM_IDENTIFY_COST	Cost: %u	成本: %u
DST_JOB_BATTLE_DUNGEON_MANAGER	Dungeon Manager	副本管理机
DST_ITEM_CAN_SEX	Gender : %s	性别 : %s
DST_ITEM_CAN_USE	Race : %s	种族 : %s
DST_DISASSEMBLE_EXCUTE	Disassemble	分解
DST_STATUS_TECHNIC_HOIPOIMIX_DISASSEMBLE	Disassemble	分解
DST_SLOT_COUNT	Slots: %d	槽位: %d
DST_SLOT_EMPTY	Empty	空
DST_ITEM_JUST_DURABILITY	Durability: % 3d	耐久: % 3d
DST_REVERTED_ACCOUNT	Account Bound	账号绑定
DST_SKILL_CASTTIME	Cast: %s	吟唱:%s
DST_SKILL_COOLTIME	Cooldown: %s	冷却时间: %s
DST_SKILL_DURATIONTIME	Duration: %s	持续时间: %s
DST_CHARTITLE_FILTER_OWNED	Owned Titles Only	仅显示已拥有称号
DST_ITEM_DURABILITY	Durability:% 3d /% 3d	耐久度:% 3d /% 3d
DST_SCOUTERITEM_OFF_EQUIPMENT	Scouter Status: Off	史考特状态: 关闭
DST_SCOUTERITEM_ON_EQUIPMENT	Scouter Status: On	史考特状态: 开启
DST_MAINMENU_OPTION	Options	选项
DST_MAINMENU_HELP	Help	帮助
DST_MAINMENU_UNSTUCK	Unstuck	脱卡
DST_MAINMENU_END_GAME	Exit	退出
DST_MAINMENU_END_SESSION	Log Out	回角色
DST_MAINMENU_CHANNEL_CHANGE	Change Channel	更换频道
DST_CCBD_BOARD_INAVLID_ITEM	Invalid Item.	无效物品。
DST_MULTIDIALOG_MENU_UPGRADE	Item Upgrade	装备强化

# TEST_BLOCK_LANG0_RISKY_ROWS_BEGIN
DST_ITEM_ATTR_ELEGANCE	Water	水
DST_ITEM_ATTR_FUNNY	Fire	火
DST_ITEM_ATTR_HONEST	Ice	冰
DST_ITEM_ATTR_NONE	None	无
DST_ITEM_ATTR_STRANGE	Lightning	雷
DST_ITEM_ATTR_WILD	Wind	风
DST_SKILL_TARGET_AND_RANGE_INFO1	Self Cast	自身施放
DST_SKILL_TARGET_AND_RANGE_INFO2	All Enemies within %dM on %d targets	对自身半径%d米内的敌人%d名使用
DST_SKILL_TARGET_AND_RANGE_INFO3	All Enemies within %d x %dM of the surrounding landscape on %d targets	对自身周围%d米 x %d米内的敌人%d名使用
DST_SKILL_TARGET_AND_RANGE_INFO4	All Allies within %dM on %d targets	对自身半径%d米内的友方%d名使用
DST_SKILL_TARGET_AND_RANGE_INFO5	All Allies within %d x %dM of the surrounding landscape on %d targets	对自身周围%d米 x %d米内的友方%d名使用
DST_SKILL_TARGET_AND_RANGE_INFO6	Teleport to a Specified Area	瞬间移动至指定区域
DST_SKILL_TARGET_AND_RANGE_INFO7	All Party Members near the Caster within %dM on %d targets	对施放者附近%d米内的队员%d名使用
DST_SKILL_TARGET_AND_RANGE_INFO8	All Party Members around the Caster within a %d x %dM on %d targets	对施放者周围%d米 x %d米内的队员%d名使用
DST_SKILL_TARGET_AND_RANGE_INFO9	Target	目标
DST_SKILL_TARGET_AND_RANGE_INFO11	All Enemies within %dM of the target on %d targets	对目标周围%d米内的敌人%d名使用
DST_SKILL_TARGET_AND_RANGE_INFO12	All Enemies around the target within a %d x %dM on %d targets	对目标周围%d米 x %d米内的敌人%d名使用
DST_SKILL_TARGET_AND_RANGE_INFO13	Affects specified target & %dM in a straight line on %d targets	对指定目标直线%d米内的目标%d名使用
DST_SKILL_TARGET_AND_RANGE_INFO14	Affects one ally	作用于一名友方
DST_SKILL_TARGET_AND_RANGE_INFO15	All Members within %dM of the target on %d targets	对目标周围%d米内的成员%d名使用
DST_SKILL_TARGET_AND_RANGE_INFO16	All Members around the target within a %d x %dM on %d targets	对目标周围%d米 x %d米内的成员%d名使用
DST_SKILL_TARGET_AND_RANGE_INFO17	Affects One Group Member	作用于一名队伍成员
DST_SKILL_TARGET_AND_RANGE_INFO18	All Party Members within %dM of the target on %d targets	对目标周围%d米内的队员%d名使用
DST_SKILL_TARGET_AND_RANGE_INFO19	All %d Party Members within %dM of the target on %d targets	对%d名队员使用，目标周围%d米内共%d个目标
DST_SKILL_TARGET_AND_RANGE_INFO20	All Enemies within %dM of the area on %d targets	对区域内%d米范围的敌人%d名使用
DST_SKILL_TARGET_AND_RANGE_INFO21	All Enemies around the area within a %d x %dM on %d targets	对区域周围%d米 x %d米内的敌人%d名使用
DST_SKILL_TARGET_AND_RANGE_INFO22	All Members within %dM of the area on %d targets	对区域内%d米范围的成员%d名使用
DST_SKILL_TARGET_AND_RANGE_INFO23	All Members around the area within a %d x %dM on %d targets	对区域周围%d米 x %d米内的成员%d名使用
DST_SKILL_TARGET_AND_RANGE_INFO24	All Party Members within %dm of the area on %d targets	对区域内%d米范围的队员%d名使用
DST_SKILL_TARGET_AND_RANGE_INFO25	All Party Members around the area within a %dx%dM on %d targets	对区域周围%d米 x %d米内的队员%d名使用
DST_SKILL_TARGET_AND_RANGE_INFO26	All Enemies within %dM on %d targets	对自身半径%d米内的敌人%d名使用
DST_SKILL_TARGET_AND_RANGE_INFO27	Everyone all around the caster within a range of %d x %dM on %d targets	对施放者周围%d米 x %d米内的所有目标%d名使用
DST_SKILL_TARGET_AND_RANGE_INFO28	Target	目标
DST_SKILL_TARGET_AND_RANGE_INFO29	Everyone within %dM of the target on %d targets	对目标周围%d米内的所有目标%d名使用
DST_SKILL_TARGET_AND_RANGE_INFO30	Everyone around the target within a %d x %dM on %d targets	对目标周围%d米 x %d米内的所有目标%d名使用
DST_SKILL_TARGET_AND_RANGE_INFO31	Everyone within %dM of the Area on %d targets	对区域内%d米范围的所有目标%d名使用
DST_SKILL_TARGET_AND_RANGE_INFO32	Everyone around the area within a %d x %dM on %d targets	对区域周围%d米 x %d米内的所有目标%d名使用
DST_SKILL_TARGET_AND_RANGE_INFO33	Near the character that designates immediate movement	瞬间移动至指定角色附近
DST_SKILL_TARGET_AND_RANGE_INFO34	All Except the Caster	除施放者外的所有目标
DST_SKILL_TARGET_AND_RANGE_INFO35	Target Range: %d targets within %dM hit	目标范围: 命中%d名目标，范围%d米
DST_SKILL_TARGET_AND_RANGE_INFO36	Own Pet Only	仅自己的宠物
DST_SKILL_TARGET_AND_RANGE_INFO37	Target Range: 37	目标范围: 37
DST_SKILL_TARGET_AND_RANGE_INFO38	Target Range: 38	目标范围: 38
DST_SKILL_TARGET_AND_RANGE_INFO39	Target Range: 39	目标范围: 39
DST_SKILL_TARGET_AND_RANGE_INFO40	Target Range: 40	目标范围: 40
DST_SKILL_TARGET_AND_RANGE_INFO41	Target Range: 41	目标范围: 41
DST_SYSTEMMSG_CRITICAL_ATTACK_ATTACKER	%s took %d critical damage.	%s受到了%d点暴击伤害。
DST_SYSTEMMSG_CRITICAL_ATTACK_DEFENDER	%s dealt %d critical damage.	%s造成了%d点暴击伤害。
DST_SYSTEMMSG_SKILL_ACTION_ATTACKER	Casting: %s.	施放:%s。
DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_BODY_CURSE	[Usable while cursed]	[诅咒状态下可使用]
DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_CHANGE_CURSE	[Usable during a negative transformation]	[负面变身状态下可使用]
DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_GREAT_NAMEK	[Usable while in Great Namek form]	[巨大那美克星人形态下可使用]
DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_EVIL_NAMEK	[Usable while in Evil Namek form]	[邪恶那美克星人形态下可使用]
DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_KING_NAMEK	[Usable while in Orange Namek form]	[橙色那美克星人形态下可使用]
DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_KAIOKEN	[Usable during Kaio-Ken]	[界王拳状态下可使用]
DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_MIND_CURSE	[Usable during confusion]	[混乱状态下可使用]
DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_NORMAL	[Usable while normal]	[普通状态下可使用]
DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_PURE_MAJIN	[Usable while in Pure Majin form]	[纯粹魔人形态下可使用]
DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_EVIL_BOO	[Usable while in Super Boo form]	[超级布欧形态下可使用]
DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_BOO	[Usable while in Buuhan form]	[布欧悟饭形态下可使用]
DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_RABIES	[Usable while enraged]	[狂暴状态下可使用]
DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_ROLLING_ATTACK	[Usable during a roll attack]	[翻滚攻击状态下可使用]
DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SPINNING_ATTACK	[Usable during a spin attack]	[旋转攻击状态下可使用]
DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYAN	[Usable while in Super Saiyan form]	[超级赛亚人形态下可使用]
DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYAN2	[Usable while in Super Saiyan 2 form]	[超级赛亚人2形态下可使用]
DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYAN3	[Usable while in Super Saiyan God form]	[超级赛亚人之神形态下可使用]
DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYANBLUE	[Usable while in Super Saiyan Blue form]	[超级赛亚人蓝色形态下可使用]
DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYAN4	[Usable while in Super Saiyan 4 form]	[超级赛亚人4形态下可使用]
DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_BIG_MONKEY	[Usable while in Oozaru form]	[大猿形态下可使用]
DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_VEHICLE	[Usable while in a vehicle]	[载具状态下可使用]
DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_GREAT_ORANGE	[Usable while in Great Orange form]	[巨大橙色形态下可使用]
DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYANROSE	[Usable while in Super Saiyan Rose form]	[超级赛亚人桃红形态下可使用]
DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYANL	[Usable while in Super Saiyan Legendary form]	[传说超级赛亚人形态下可使用]
DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_SAIYAN33	[Usable while in Super Saiyan 3 form]	[超级赛亚人3形态下可使用]
DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_SUPER_BOO2	[Usable while in Super Boo 2 form]	[超级布欧2形态下可使用]
DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_BUUHAN_SKIN	[Usable while in Buuhan Skin form]	[布欧悟饭皮肤形态下可使用]
DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_BUUHAN_SKIN2	[Usable while in Buuhan Skin 2 form]	[布欧悟饭皮肤2形态下可使用]
DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_GOTENKS_BOO_FIS	[Usable while in Gotenks Boo Fighter form]	[悟天克斯布欧格斗形态下可使用]
DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_GOTENKS_BOO_MAG	[Usable while in Gotenks Boo Mystic form]	[悟天克斯布欧秘术形态下可使用]
DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_DARK_NAMEK	[Usable while in Dark Namek form]	[黑暗那美克星人形态下可使用]
DST_SKILL_TRANSFORM_USE_INFO_FLAG_ABLE_WHEN_MYSTIC_MAJIN	[Usable while in Mystic Majin form]	[神秘魔人形态下可使用]
# TEST_BLOCK_LANG0_RISKY_ROWS_END

# TEST_BLOCK_LANG0_BOT_CHECK_BEGIN
# TEST_BLOCK_LANG0_BOT_CHECK_END
DST_MSG_BOX_TITLE	Message	消息
DST_MSG_BTN_CANCEL	Cancel	取消
DST_MSG_BTN_OK	Ok	OK

# AUTO_BLOCK_LANG0_OPTION_MENU_INFO_BOT_20260608_BEGIN
DST_DIALOG_MODE_NARRATION	Please Wait while I'm on the bot check	请稍等，正在验证
DST_MSG_BOX_TITLE	Message	消息
DST_MSG_BTN_CANCEL	Cancel	取消
DST_MSG_BTN_OK	Ok	OK
DST_MAINMENU_COMMUNITY	Guild	公会
DST_MAINMENU_CONTROL	Controls	控制
DST_MAINMENU_FRIENDLIST	Friends List	好友列表
DST_MAINMENU_INVEN	Inventory	背包
DST_MAINMENU_PARTYMATCHINGLIST	Party Search	队伍搜索
DST_MAINMENU_QUEST	Quests	任务
DST_MAINMENU_RANKBOARD	Ranks	排行
DST_MAINMENU_SKILL	Skills	技能
DST_MAINMENU_STATUS	Character	角色
DST_MAINMENU_TOOLTIP	Menu	菜单
DST_MAINMENU_TOOLTIP_SHORTCUT	Hotkey	热键
DST_INFOWINDOW_CREATE_ITEM	Mix Item	合成
DST_INFOWINDOW_MAKE_LEVEL	Crafting Level : %d	工艺等级:%d
DST_INFOWINDOW_MAKE_ZENNY	Fee	费
DST_INFOWINDOW_PREVIEW_MANUAL	Use Shift+left mouse button to preview the item.	Shift+左键预览物品。
DST_INFOWINDOW_RECIPE_MAT	Ingredients	材料
DST_INFOWINDOW_SELL_PRICE	Sale Price	售价
DST_INFOWINDOW_USE_STATE	Conditions:	条件:
DST_INFOWINDOW_ZENNY	%s Zeni	%s 索
DST_INFOWND_RPBONUS_CASTTIME	Casttime	吟唱
DST_INFOWND_RPBONUS_COOLTIME	Cooldown	冷却
DST_INFOWND_RPBONUS_EP	EP Reduced	EP减少
DST_INFOWND_RPBONUS_GUARDCRASH	Guard Break	破防
DST_INFOWND_RPBONUS_KEEPTIME	Upkeep	维持
DST_INFOWND_RPBONUS_KNOCKDOWN	Knockdown	击倒
DST_INFOWND_RPBONUS_POWER	Power Increased	威力增加
DST_INFOWND_RPBONUS_USE	Use Skill	用技能
DST_INFO_MASCOT	These are your registered Pets.	已登记的宠物。
DST_INFO_MASCOT_ACTIVATE_ICON	Shows Pet Being Summoned	显示召唤宠物
DST_INFO_MASCOT_BUTT	Remove Ring to Delete	取下戒指删除
DST_INFO_MASCOT_LIST	List of Registered Pets	已登记宠物列表
DST_INFO_MASCOT_RING_ICON	Ring equipment state can be found in the pet window, click on the ring to use.	宠物窗口可查看戒指，点击戒指使用。
DST_INFO_RING_ITEM	Pets can be summoned and require VP to use Rings.	宠物需用VP戒指召唤。
DST_OPTION_CANCEL	Cancel	取消
DST_OPTION_CHATTING_ADDED_GUILD	Guild	公会
DST_OPTION_CHATTING_ADDED_NORMAL	Normal	普通
DST_OPTION_CHATTING_ADDED_PARTY	Party	队伍
DST_OPTION_CHATTING_ADDED_PARTY_SEARCH	Party Search	队伍搜索
DST_OPTION_CHATTING_ADDED_SHOUT	Shout	喊话
DST_OPTION_CHATTING_ADDED_SYSTEM	System	系统
DST_OPTION_CHATTING_ADDED_TRADE	Trade	交易
DST_OPTION_CHATTING_ADDED_WISPHER	Whisper	密语
DST_OPTION_CHATTING_BASIC_GUILD	Guild	公会
DST_OPTION_CHATTING_BASIC_NORMAL	Normal	普通
DST_OPTION_CHATTING_BASIC_PARTY	Party	队伍
DST_OPTION_CHATTING_BASIC_PARTY_SEARCH	Party Search	队伍搜索
DST_OPTION_CHATTING_BASIC_SHOUT	Shout	喊话
DST_OPTION_CHATTING_BASIC_SYSTEM	System	系统
DST_OPTION_CHATTING_BASIC_TRADE	Trade	交易
DST_OPTION_CHATTING_BASIC_WISPHER	Whisper	密语
DST_OPTION_CHATTING_COMMON_ADDEDWINDOW	Window+	窗口+
DST_OPTION_CHATTING_COMMON_ADDEDWINDOW2	Window++	窗口++
DST_OPTION_CHATTING_COMMON_INPUTMODE	Input Mode	输入模式
DST_OPTION_CHATTING_COMMON_LOCK	Lock Chat	锁聊天
DST_OPTION_CHATTING_COMMON_OPACITY	Opacity	透明度
DST_OPTION_CHATTING_COMMON_SCROLL	Scroll Chat	滚动聊天
DST_OPTION_CHATTING_TITLE_ADDED	Window+	窗口+
DST_OPTION_CHATTING_TITLE_ADDED2	Window++	窗口++
DST_OPTION_CHATTING_TITLE_BASIC	Basic	基本
DST_OPTION_CHATTING_TITLE_COMMON	Common	通用
DST_OPTION_CONTROL_ACTION_AVATAR_AUTORUN	Auto-run	自动跑
DST_OPTION_CONTROL_ACTION_AVATAR_BACKWARD	Back	后退
DST_OPTION_CONTROL_ACTION_AVATAR_BLOCKING	Block	格挡
DST_OPTION_CONTROL_ACTION_AVATAR_CHARGE	Charge	蓄气
DST_OPTION_CONTROL_ACTION_AVATAR_FORWARD	Forward	前进
DST_OPTION_CONTROL_ACTION_AVATAR_JUMP	Jump	跳跃
DST_OPTION_CONTROL_ACTION_AVATAR_LEFTSIDE	Left	左
DST_OPTION_CONTROL_ACTION_AVATAR_LEFTTURN	Turn Left	左转
DST_OPTION_CONTROL_ACTION_AVATAR_LOOTING	Loot	拾取
DST_OPTION_CONTROL_ACTION_AVATAR_RIGHTSIDE	Right	右
DST_OPTION_CONTROL_ACTION_AVATAR_RIGHTTURN	Turn Right	右转
DST_OPTION_CONTROL_ACTION_AVATAR_SCOUTER	Scouter on / off	史考特开关
DST_OPTION_CONTROL_ACTION_AVATAR_SITDOWN	Sit	坐
DST_OPTION_CONTROL_ACTION_CHAT_PGDN	Scroll Down	下滚
DST_OPTION_CONTROL_ACTION_CHAT_PGUP	Scroll Up	上滚
DST_OPTION_CONTROL_ACTION_GLOBAL_CANCLE	Cancel	取消
DST_OPTION_CONTROL_ACTION_GLOBAL_CHAT	Start Chat	开始聊天
DST_OPTION_CONTROL_ACTION_GLOBAL_RENDERGUI	Hide UI	隐藏UI
DST_OPTION_CONTROL_ACTION_GLOBAL_SNAPSHOT	Screenshot	截图
DST_OPTION_CONTROL_ACTION_MINIMAP_ZOOMIN	Minimap Zoom-In	小地图放大
DST_OPTION_CONTROL_ACTION_MINIMAP_ZOOMOUT	Minimap Zoom-Out	小地图缩小
DST_OPTION_CONTROL_ACTION_QUICKSLOT_2NDCAP	Bag2	包2
DST_OPTION_CONTROL_ACTION_QUICKSLOT_3RDCAP	Bag3	包3
DST_OPTION_CONTROL_ACTION_QUICKSLOT_4THCAP	Bag4	包4
DST_OPTION_CONTROL_ACTION_QUICKSLOT_5THCAP	Bag5	包5
DST_OPTION_CONTROL_ACTION_QUICKSLOT_NEXT	Next Bar	下栏
DST_OPTION_CONTROL_ACTION_QUICKSLOT_PREV	Prev Bar	上栏
DST_OPTION_CONTROL_ACTION_QUICKSLOT_SUMMON_1	Quick Summon 1	快速召唤1
DST_OPTION_CONTROL_ACTION_QUICKSLOT_SUMMON_2	Quick Summon 2	快速召唤2
DST_OPTION_CONTROL_ACTION_QUICKSLOT_SUMMON_3	Quick Summon 3	快速召唤3
DST_OPTION_CONTROL_ACTION_QUICKSLOT_SUMMON_4	Quick Summon 4	快速召唤4
